COD_UF,COD_MUNICIPIO,NOME_MUNICIPIO,POPULACAO
35,35804,Paranapanema,20588
35,35903,Paranapuã,4112
35,36000,Parapuã,10934
35,36109,Pardinho,6579
35,36208,Pariquera-Açu,19797
35,36257,Parisi,2177
35,36307,Patrocínio Paulista,14941
35,36406,Paulicéia,7540
35,36505,Paulínia,114508
35,36570,Paulistânia,1835
35,36604,Paulo de Faria,8973
35,36703,Pederneiras,47523
35,36802,Pedra Bela,6127
35,36901,Pedranópolis,2468
35,37008,Pedregulho,16876
35,37107,Pedreira,48992
35,37156,Pedrinhas Paulista,3109
35,37206,Pedro de Toledo,11507
35,37305,Penápolis,64098
35,37404,Pereira Barreto,25685
35,37503,Pereiras,8875
35,37602,Peruíbe,69697
35,37701,Piacatu,6093
35,37800,Piedade,55731
35,37909,Pilar do Sul,29612
35,38006,Pindamonhangaba,171885
35,38105,Pindorama,17378
35,38204,Pinhalzinho,15564
35,38303,Piquerobi,3706
35,38501,Piquete,13495
35,38600,Piracaia,27617
35,38709,Piracicaba,410275
35,38808,Piraju,29930
35,38907,Pirajuí,25939
35,39004,Pirangi,11524
35,39103,Pirapora do Bom Jesus,19453
35,39202,Pirapozinho,27974
35,39301,Pirassununga,77330
35,39400,Piratininga,13890
35,39509,Pitangueiras,40430
35,39608,Planalto,5370
35,39707,Platina,3606
35,39806,Poá,119221
35,39905,Poloni,6166
35,40002,Pompéia,22326
35,40101,Pongaí,3385
35,40200,Pontal,51717
35,40259,Pontalinda,4719
35,40309,Pontes Gestal,2576
35,40408,Populina,4136
35,40507,Porangaba,10205
35,40606,Porto Feliz,53698
35,40705,Porto Ferreira,56848
35,40754,Potim,25603
35,40804,Potirendaba,17668
35,40853,Pracinha,4327
35,40903,Pradópolis,22239
35,41000,Praia Grande,336454
35,41059,Pratânia,5371
35,41109,Presidente Alves,4067
35,41208,Presidente Bernardes,12943
35,41307,Presidente Epitácio,44572
35,41406,Presidente Prudente,231953
35,41505,Presidente Venceslau,39648
35,41604,Promissão,41211
35,41653,Quadra,3902
35,41703,Quatá,14309
35,41802,Queiroz,3513
35,41901,Queluz,13788
35,42008,Quintana,6736
35,42107,Rafard,9126
35,42206,Rancharia,29743
35,42305,Redenção da Serra,3827
35,42404,Regente Feijó,20523
35,42503,Reginópolis,10047
35,42602,Registro,56463
35,42701,Restinga,7762
35,42800,Ribeira,3320
35,42909,Ribeirão Bonito,13376
35,43006,Ribeirão Branco,15984
35,43105,Ribeirão Corrente,4786
35,43204,Ribeirão do Sul,4537
35,43238,Ribeirão dos Índios,2222
35,43253,Ribeirão Grande,7686
35,43303,Ribeirão Pires,125238
35,43402,Ribeirão Preto,720116
35,43501,Riversul,5364
35,43600,Rifaina,3651
35,43709,Rincão,10824
35,43808,Rinópolis,9940
35,43907,Rio Claro,209548
35,44004,Rio das Pedras,36233
35,44103,Rio Grande da Serra,52009
35,44202,Riolândia,12856
35,44251,Rosana,15929
35,44301,Roseira,10888
35,44400,Rubiácea,3195
35,44509,Rubinéia,3191
35,44608,Sabino,5638
35,44707,Sagres,2427
35,44806,Sales,6481
35,44905,Sales Oliveira,12103
35,45001,Salesópolis,17363
35,45100,Salmourão,5372
35,45159,Saltinho,8498
35,45209,Salto,120779
35,45308,Salto de Pirapora,46285
35,45407,Salto Grande,9396
35,45506,Sandovalina,4405
35,45605,Santa Adélia,15639
35,45704,Santa Albertina,6036
35,45803,Santa Bárbara d'Oeste,195278
35,46009,Santa Branca,14925
35,46108,Santa Clara d'Oeste,2111
35,46207,Santa Cruz da Conceição,4584
35,46256,Santa Cruz da Esperança,2166
35,46306,Santa Cruz das Palmeiras,35102
35,46405,Santa Cruz do Rio Pardo,48207
35,46504,Santa Ernestina,5577
35,46603,Santa Fé do Sul,32796
35,46702,Santa Gertrudes,27850
35,46801,Santa Isabel,58529
35,46900,Santa Lúcia,8889
35,47007,Santa Maria da Serra,6298
35,47106,Santa Mercedes,2947
35,47205,Santana da Ponte Pensa,1448
